Entity,Code,Date,Total confirmed cases ,,,,,
Sweden,SWE,9-Mar-20,203,,,,,
Sweden,SWE,10-Mar-20,248,,,,,
Sweden,SWE,11-Mar-20,326,,,,,
Sweden,SWE,12-Mar-20,462,,,,,
Sweden,SWE,13-Mar-20,620,,,,,
Sweden,SWE,14-Mar-20,775,,,,,
Sweden,SWE,15-Mar-20,924,,,,,
Sweden,SWE,16-Mar-20,1032,,,,,
Sweden,SWE,17-Mar-20,1121,,,,,
Sweden,SWE,18-Mar-20,1167,,,,,
Sweden,SWE,19-Mar-20,1301,,,,,
Sweden,SWE,20-Mar-20,1423,,,,,
Sweden,SWE,21-Mar-20,1623,,,,,
Sweden,SWE,22-Mar-20,1746,,,,,
Sweden,SWE,23-Mar-20,1906,,,,,
Sweden,SWE,24-Mar-20,2016,,,,,
Sweden,SWE,25-Mar-20,2272,,,,,
Sweden,SWE,26-Mar-20,2510,,,,,
Sweden,SWE,27-Mar-20,2806,,,,,
Sweden,SWE,28-Mar-20,3046,,,,,
Sweden,SWE,29-Mar-20,3447,,,,,
Sweden,SWE,30-Mar-20,3700,,,,,
Sweden,SWE,31-Mar-20,4028,,,,,
Sweden,SWE,1-Apr-20,4435,,,,,
Sweden,SWE,2-Apr-20,4947,,,,,
Sweden,SWE,3-Apr-20,5466,,,,,
Sweden,SWE,4-Apr-20,6078,,,,,
Sweden,SWE,5-Apr-20,6443,,,,,
Sweden,SWE,6-Apr-20,6830,,,,,
Sweden,SWE,7-Apr-20,7206,,,,,
Sweden,SWE,8-Apr-20,7693,,,,,
Sweden,SWE,9-Apr-20,8419,,,,,
Sweden,SWE,10-Apr-20,9141,,,,,
Sweden,SWE,11-Apr-20,9685,,,,,
Sweden,SWE,12-Apr-20,10151,,,,,
Sweden,SWE,13-Apr-20,10483,,,,,
Sweden,SWE,14-Apr-20,10948,,,,,
Sweden,SWE,15-Apr-20,11445,,,,,
Sweden,SWE,16-Apr-20,11927,,,,,
Sweden,SWE,17-Apr-20,12540,,,,,
Sweden,SWE,18-Apr-20,13216,,,,,
Sweden,SWE,19-Apr-20,13822,,,,,
Sweden,SWE,20-Apr-20,14385,,,,,
Sweden,SWE,21-Apr-20,14777,,,,,
Sweden,SWE,22-Apr-20,15322,,,,,
Sweden,SWE,23-Apr-20,16004,,,,,
Sweden,SWE,24-Apr-20,16755,,,,,
Sweden,SWE,25-Apr-20,17567,,,,,
Sweden,SWE,26-Apr-20,18177,,,,,
Sweden,SWE,27-Apr-20,18640,,,,,
Sweden,SWE,28-Apr-20,18926,,,,,
Sweden,SWE,29-Apr-20,19621,,,,,
Switzerland,CHE,26-Feb-20,1,,,,,
Switzerland,CHE,27-Feb-20,1,,,,,
Switzerland,CHE,28-Feb-20,8,,,,,
Switzerland,CHE,29-Feb-20,12,,,,,
Switzerland,CHE,1-Mar-20,18,,,,,
Switzerland,CHE,2-Mar-20,24,,,,,
