,Country Name,hospital_beds per_thousand_2014,Health_expenditure per_capita_2017,Health_expenditure out_of_pocket per_capita_2017,Physicians per_thousand_2016,handwashing facilities%_2016,Total_tests per_thousand
134,Maldives,,1006.93878173828,20.6469982862473,1.0379,95.7938953137068,
135,Mexico,,494.677642822266,41.2832766771317,2.2478,87.8174056003199,0.608
136,Marshall Islands,,642.199157714844,12.413543462753301,,82.4716997815495,
137,North Macedonia,,328.419799804688,31.9056153297424,,,
138,Mali,,31.3781051635742,35.113012790679896,0.1393,51.986697125188705,
139,Myanmar,,58.0439567565918,76.2309670448303,0.6214,79.24346228027571,0.145
140,Mongolia,,148.78445434570298,32.1524679660797,2.8866,71.1580188847214,
141,Mozambique,,21.0711555480957,7.395334541797639,,,
142,Mauritania,,48.8171310424805,49.545481801033,,42.7758932208854,
143,Mauritius,,599.699768066406,48.8656491041183,,,
144,Malawi,,32.2593841552734,10.5903871357441,0.0157,9.18175322932738,
145,Malaysia,,384.066070556641,37.947195768356295,,,4.763999999999999
146,Namibia,,447.280639648438,7.734195142984389,,44.2351896940557,
147,Niger,,29.2616500854492,47.82851338386539,,,
148,Nigeria,,73.9249801635742,77.2248029708862,,41.768427847591504,0.062
149,Netherlands,,4911.4404296875,11.0869333148003,3.5067,,12.947000000000001
150,Norway,,7936.375,14.1772866249084,4.4948,,31.197
151,Nepal,,47.9153633117676,57.79855251312261,,48.7885443590975,0.396
152,Nauru,,1106.7509765625,0.9245186112821099,,,
153,New Zealand,,3937.22192382813,13.577073812484699,3.0252,,27.906
154,Panama,,1112.30322265625,33.2700669765472,1.5699,,6.915
155,Philippines,,132.900985717773,53.045779466629,,78.4370472671209,0.852
156,Palau,,1596.36291503906,15.457022190094,,,
157,Papua New Guinea,,61.45783996582029,8.998544514179232,,,
158,Poland,,906.8201293945309,23.0497926473618,2.3998,,8.575
159,Portugal,,1908.0339355468802,27.532079815864602,3.3356,,40.285
160,Paraguay,,381.11306762695295,44.1762536764145,,79.56706850351159,1.3230000000000002
161,Romania,,555.104736328125,20.4880461096764,2.2586,,8.681000000000001
162,Russian Federation,,585.873229980469,40.4930830001831,4.0139,,
163,Rwanda,,49.2044563293457,6.24799951910973,0.14,4.420659668731179,1.8530000000000002
164,Sudan,,193.793045043945,72.47966527938841,,23.4041499409451,
165,Senegal,,55.0140380859375,52.3998200893402,0.0692,23.998446900946103,0.64
166,Singapore,,2618.71240234375,32.1252405643463,2.3063,,
167,Solomon Islands,,101.239868164063,5.39916232228279,0.1999,35.7506380227669,
168,Sierra Leone,,66.4021835327148,50.412553548812895,,18.3832232782818,
169,San Marino,,3361.64477539063,17.333999276161197,,,
170,Serbia,,528.545166015625,41.7523622512817,3.125,,11.600999999999999
171,South Sudan,,22.888572692871104,19.1928148269653,,,
172,Sao Tome and Principe,,119.695655822754,13.7765601277351,,41.4125989176851,
173,Suriname,,339.327972412109,26.3795912265778,,,
174,Slovak Republic,,1186.13635253906,18.713185191154498,2.4643,,
175,Slovenia,,1920.28186035156,12.3281687498093,2.9953,,25.469
176,Sweden,,5904.583984375,15.0326043367386,5.3996,,
177,Eswatini,,224.736770629883,10.4967460036278,0.0796,24.045478666982397,
178,Seychelles,,791.6566772460941,24.599426984787,0.9458,,
179,Chad,,29.730863571167003,58.0231606960297,0.0475,5.7902959328907,
180,Togo,,38.048713684081996,58.42012763023379,,10.387298092433198,
181,Thailand,,247.035110473633,11.1465625464916,0.4457,83.9118982220547,0.889
182,Tajikistan,,57.8998527526855,63.152414560318,,72.6465043874336,
183,Turkmenistan,,456.482666015625,72.758024930954,,99.38471805151221,
184,Timor-Leste,,83.1977081298828,8.34491550922394,,28.1033128999577,
185,Tonga,,222.015487670898,10.6305524706841,,,
186,Turkey,,444.653686523438,17.3842012882233,,,11.757
187,Tuvalu,,622.176696777344,0.5221799015998839,,,
188,Tanzania,,33.916576385498,24.0961372852325,,47.7900040273425,
189,Uganda,,38.426441192627,39.0714079141617,,20.0692136701969,0.64
190,Ukraine,,177.408889770508,52.316921949386604,,,2.39
191,United States,,10246.138671875,10.9929218888283,2.5948,,18.206
192,Uzbekistan,,98.82457733154301,53.431361913681,,,
193,Vanuatu,,105.66652679443399,8.96036028862,0.1706,25.178074192191602,
194,Samoa,,233.06506347656298,11.8570581078529,0.3409,,
195,South Africa,,499.237548828125,7.7669233083725,0.8024,43.8649443283603,3.324
196,Zambia,,67.6486663818359,11.849131435155899,0.0913,13.8281353541193,
197,Zimbabwe,,110.149620056152,20.6223398447037,,36.801494568623,0.514
198,Albania,,,,1.1998,,
199,"Korea, Dem. People’s Rep.",,,,3.6922,,
200,Early-demographic dividend,,,,,59.4974599501825,
201,Heavily indebted poor countries (HIPC),,,,,20.3221556553792,
202,IDA total,,,,,36.0539968695562,
203,IDA blend,,,,,46.26474308680079,
204,IDA only,,,,,30.7044529611518,
205,Least developed countries: UN classification,,,,,28.260487732669702,
206,Low income,,,,,23.2177149988439,
207,Lower middle income,,,,,57.3881538834502,
208,Pre-demographic dividend,,,,,29.651147991198503,
209,South Asia,,,,,56.5983062474222,
210,Sub-Saharan Africa (excluding high income),,,,,25.326144178849802,
211,Sub-Saharan Africa,,,,,25.326144178849802,
